Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider SSA County Code,Provider County Name,Ownership Type,Number of Certified Beds,Average Number of Residents Per Day,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid services,Continuing Care Retirement Community,Special Focus Facility,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,RN Staffing Rating,RN Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported CNA Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Expected CNA Staffing Hours per Resident per Day,Expected LPN Staffing Hours per Resident per Day,Expected RN Staffing Hours per Resident per Day,Expected Total Nurse Staffing Hours per Resident per Day,Adjusted CNA Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Health Survey Date Under New Process,Number of Health Deficiencies on Survey Under New Process,Severity of Most Severe Deficiency Cited Under New Process,Largest Number of Residents Affected by Deficiency Cited Under New Process,Date of Previous Standard Health Inspection,Number of Health Deficiencies on Previous Standard Health Inspection,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 2 Health Deficiency Score,Rating Cycle 2 Number of Health Revisits,Rating Cycle 2 Health Revisit Score,Rating Cycle 2 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
415044,FRIENDLY HOME INC THE,303 RHODES AVENUE,WOONSOCKET,RI,2895,4017697220,30,Providence,For profit - Corporation,126,124.5,Medicare and Medicaid,FALSE,FRIENDLY HOME INC,29007,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,4,,5,,4,,4,,,,2.64339,0.52696,0.51567,1.04263,3.68602,0.06703,1.99795,0.65791,0.30127,2.95712,2.76045,0.60188,0.64195,4.00487,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,7/13/2017,0,7/13/2017,0,0,0,0,0,0,0,7/22/2016,4,4,0,4,1,0,4,1.6,0,0,0,0,0,0,"303 RHODES AVENUE WOONSOCKET, RI 02895 (42.005585, -71.533652)",10/1/2018
415049,HEBERT NURSING HOME,180 LOG ROAD,SMITHFIELD,RI,2917,4012317016,30,Providence,For profit - Corporation,133,111.8,Medicare and Medicaid,FALSE,ASLC RI II LLC,28430,FALSE,FALSE,FALSE,FALSE,Resident,Yes,4,,3,,2,,4,,4,,,,3.07665,0.46259,0.54749,1.01008,4.08673,0,1.82535,0.64705,0.30093,2.77333,3.5167,0.53723,0.68231,4.7345,7/18/2018,4,Minimal Harm/Potential for Actual Harm,Many,5/10/2017,2,5/10/2017,2,2,0,12,1,0,12,5/31/2016,0,0,0,0,0,0,0,7.2,10,0,0,0,0,0,"180 LOG ROAD SMITHFIELD, RI 02917 (41.910336, -71.551313)",10/1/2018
415052,CHARLESGATE NURSING CENTER,100 RANDALL STREET,PROVIDENCE,RI,2904,4018615858,30,Providence,For profit - Partnership,120,103.9,Medicare and Medicaid,FALSE,CHARLESGATE NURSING CENTER,28358,FALSE,FALSE,FALSE,FALSE,Resident,Yes,4,,4,,3,,4,,4,,,,2.58993,0.52328,0.55898,1.08226,3.67219,0.04133,1.77383,0.67027,0.33249,2.77659,3.04634,0.58666,0.63052,4.24926,2/20/2018,4,Immediate Jeopardy,Few,1/10/2017,1,1/10/2017,1,1,0,4,1,0,4,1/20/2016,3,2,1,0,1,0,0,2.4,2,1,1,156606,0,1,"100 RANDALL STREET PROVIDENCE, RI 02904 (41.838228, -71.409659)",10/1/2018
415066,CRA-MAR MEADOWS,575 SEVEN MILE ROAD,CRANSTON,RI,2920,4018285010,30,Providence,For profit - Corporation,41,31.4,Medicare and Medicaid,FALSE,CRA-MAR CORPORATION,29252,FALSE,FALSE,FALSE,FALSE,Resident,Yes,2,,1,,5,,2,,4,,,,1.33833,0,0.76525,0.76525,2.10358,0.07793,2.03774,0.7062,0.33845,3.08239,1.3703,0,0.84799,2.19266,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,11/2/2017,8,11/2/2017,8,8,0,68,1,0,68,11/4/2016,3,3,0,24,1,0,24,50.4,0,0,0,0,0,0,"575 SEVEN MILE ROAD CRANSTON, RI 02920",10/1/2018
415074,VILLAGE HOUSE CONVALESCENT HOME INC,70 HARRISON AVENUE,NEWPORT,RI,2840,4018495222,20,Newport,For profit - Corporation,95,73.4,Medicare and Medicaid,FALSE,VILLAGE HOUSE CONVALESCENT HOME INC,29299,FALSE,FALSE,FALSE,FALSE,Resident,Yes,3,,3,,4,,3,,5,,,,2.13078,0.12143,1.07979,1.20122,3.332,0.05304,2.17075,0.73952,0.35511,3.26539,2.04801,0.12339,1.14039,3.27846,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,9/21/2017,1,9/21/2017,1,1,0,8,1,0,8,10/7/2016,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,"70 HARRISON AVENUE NEWPORT, RI 02840 (41.471447, -71.322583)",10/1/2018
415105,WOODPECKER HILL HEALTH CENTER,2052 PLAINFIELD PIKE,GREENE,RI,2827,4013977504,10,Kent,For profit - Corporation,41,33.7,Medicare and Medicaid,FALSE,"GREENE ACRES HEALTH CENTER, LLC",33573,FALSE,FALSE,FALSE,FALSE,Resident,Yes,4,,3,,5,,3,,5,,,,1.97568,0.35129,1.05371,1.405,3.38067,0.08207,2.26093,0.67731,0.31944,3.25769,1.82318,0.38975,1.2371,3.33422,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,9/15/2017,0,9/15/2017,0,0,0,0,0,0,0,10/14/2016,2,2,0,16,1,0,16,6.4,0,0,0,0,0,0,"2052 PLAINFIELD PIKE GREENE, RI 02827",10/1/2018
415028,WEST SHORE HEALTH CENTER,109 WEST SHORE ROAD,WARWICK,RI,2889,4017399440,10,Kent,For profit - Corporation,145,130.7,Medicare and Medicaid,FALSE,WARWICK HEALTH CENTRE INC.,25689,FALSE,FALSE,FALSE,FALSE,Resident,Yes,3,,3,,4,,2,,4,,,,1.92674,0.3832,0.59753,0.98073,2.90747,0,2.10496,0.70433,0.322,3.13128,1.90977,0.40883,0.69597,2.98327,7/9/2018,12,Actual Harm,Many,4/7/2017,1,4/7/2017,3,1,2,8,1,0,8,6/3/2016,1,1,0,4,1,0,4,6.4,0,0,0,0,0,0,"109 WEST SHORE ROAD WARWICK, RI 02889 (41.733287, -71.402699)",10/1/2018
415027,OAK HILL HEALTH & REHABILITATION CENTER,544 PLEASANT STREET,PAWTUCKET,RI,2860,4017258888,30,Providence,For profit - Corporation,129,111.7,Medicare and Medicaid,FALSE,OAK HILL OPERATIONS ASSOCIATES LLC,25355,FALSE,TRUE,FALSE,FALSE,Resident,Yes,2,,1,,2,,4,,4,,,,2.22827,0.67081,0.58539,1.2562,3.48447,0.09171,1.95057,0.70411,0.34079,2.99547,2.38347,0.71592,0.64423,3.73743,6/18/2018,6,Minimal Harm/Potential for Actual Harm,Many,6/30/2017,4,6/30/2017,4,4,4,32,1,0,32,10/3/2016,5,2,3,16,1,0,16,25.6,6,9,0,0,0,0,"544 PLEASANT STREET PAWTUCKET, RI 02860 (41.863973, -71.383313)",10/1/2018
415023,SUNNY VIEW NURSING HOME INC,83 CORONA STREET,WARWICK,RI,2886,4017379193,10,Kent,For profit - Individual,57,52.6,Medicare and Medicaid,FALSE,"SUNNY VIEW NURSING HOME, INC",24930,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,3,,5,,4,,5,,,,2.54764,0.49331,0.97999,1.47331,4.02095,0.1225,2.0247,0.74248,0.37488,3.14206,2.6253,0.49928,0.98043,4.11163,6/8/2018,0,None,None,5/11/2017,1,5/11/2017,1,1,0,8,1,0,8,6/16/2016,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,"83 CORONA STREET WARWICK, RI 02886 (41.723183, -71.459285)",10/1/2018
415040,ROYAL MIDDLETOWN NURSING CENTER,193 FOREST AVENUE,MIDDLETOWN,RI,2842,4018472777,20,Newport,For profit - Corporation,50,42.2,Medicare and Medicaid,FALSE,ROYAL MIDDLETOWN NURSING CENTER LLC,27119,TRUE,FALSE,FALSE,FALSE,Resident,Yes,5,,4,,5,,3,,4,,,,2.41977,0.09814,0.80316,0.90129,3.32106,0.15783,1.99134,0.73831,0.36844,3.09809,2.53532,0.09988,0.81755,3.44416,12/28/2017,0,None,None,10/28/2016,1,10/28/2016,1,1,0,4,1,0,4,12/3/2015,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,"193 FOREST AVENUE MIDDLETOWN, RI 02842 (41.528017, -71.28822)",10/1/2018
415032,CEDAR CREST NURSING CENTRE INC,125 SCITUATE AVENUE,CRANSTON,RI,2920,4019448500,30,Providence,For profit - Corporation,156,155.4,Medicare and Medicaid,FALSE,CEDAR CREST NURSING CENTRE INC,25804,FALSE,FALSE,FALSE,FALSE,Both,Yes,4,,3,,4,,4,,5,,,,2.68323,0.31265,0.90446,1.21712,3.90034,0.11136,2.18911,0.71847,0.33662,3.24419,2.55736,0.32701,1.00772,3.86275,3/8/2018,3,Minimal Harm/Potential for Actual Harm,Few,1/12/2017,0,1/12/2017,0,0,0,0,0,0,0,2/12/2016,2,1,1,12,1,0,12,4.8,0,1,1,3063,0,1,"125 SCITUATE AVENUE CRANSTON, RI 02920 (41.778839, -71.479833)",10/1/2018
415041,WOONSOCKET HEALTH CENTRE,262 POPLAR STREET,WOONSOCKET,RI,2895,4017652100,30,Providence,For profit - Corporation,150,133.6,Medicare and Medicaid,FALSE,"CON-V-CARE, INC",27571,FALSE,FALSE,FALSE,FALSE,Both,Yes,5,,5,,3,,4,,4,,,,2.38653,0.2957,0.6688,0.9645,3.35103,0.01356,1.85959,0.64159,0.29768,2.79886,2.67764,0.34633,0.84263,3.84678,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,7/31/2017,0,7/31/2017,0,0,0,0,0,0,0,8/25/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"262 POPLAR STREET WOONSOCKET, RI 02895 (42.008072, -71.48806)",10/1/2018
415029,GOLDEN CREST NURSING CENTRE,100 SMITHFIELD ROAD,NORTH PROVIDENCE,RI,2904,4013531710,30,Providence,For profit - Corporation,152,126.6,Medicare and Medicaid,FALSE,"PEZZELLI NURSING HOME, INC",25493,FALSE,FALSE,FALSE,FALSE,Both,Yes,3,,2,,4,,4,,4,,,,2.98164,0.43237,0.47807,0.91044,3.89207,0.06146,2.04864,0.62533,0.28047,2.95444,3.03663,0.51958,0.63926,4.23259,1/22/2018,0,None,None,12/29/2016,2,12/29/2016,2,2,0,20,1,0,20,1/19/2016,2,2,0,12,1,0,12,16.8,0,0,0,0,0,0,"100 SMITHFIELD ROAD NORTH PROVIDENCE, RI 02904 (41.856041, -71.44898)",10/1/2018
415007,ELDERWOOD AT RIVERSIDE,100 WAMPANOAG TRAIL,RIVERSIDE,RI,2915,4014384275,30,Providence,For profit - Corporation,57,47.7,Medicare and Medicaid,FALSE,100 WAMPANOAG TRAIL OPERATING COMPANY LLC,24473,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,5,,5,,4,,5,,,,2.31158,0.40827,1.27618,1.68444,3.99602,0.14569,1.98552,0.70572,0.35055,3.04178,2.42906,0.43473,1.36536,4.22085,12/7/2017,0,None,None,11/4/2016,0,11/4/2016,0,0,0,0,0,0,0,11/6/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100 WAMPANOAG TRAIL RIVERSIDE, RI 02915 (41.797199, -71.358895)",10/1/2018
415002,HATTIE IDE CHAFFEE HOME,200 WAMPANOAG TRAIL,EAST PROVIDENCE,RI,2914,4014341520,30,Providence,For profit - Corporation,60,56.9,Medicare and Medicaid,FALSE,HATTIE IDE CHAFFEE NURSING HOME INC,29587,FALSE,FALSE,FALSE,FALSE,Both,Yes,5,,3,,5,,5,,5,,,,3.15039,0.08259,1.146,1.2286,4.37898,0.12066,2.2236,0.71118,0.3347,3.26947,2.95604,0.08727,1.28414,4.30324,12/6/2017,0,None,None,11/22/2016,2,11/22/2016,2,2,0,12,1,0,12,12/17/2015,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,"200 WAMPANOAG TRAIL EAST PROVIDENCE, RI 02914 (41.796194, -71.355011)",10/1/2018
415031,SILVER CREEK MANOR,7 CREEK LANE,BRISTOL,RI,2809,4012533000,0,Bristol,For profit - Corporation,128,108.2,Medicare and Medicaid,FALSE,KAR LITTLE BOX LLC,25946,FALSE,FALSE,FALSE,FALSE,None,Yes,4,,4,,2,,3,,5,,,,2.29702,0.18582,0.87495,1.06077,3.3578,0.04895,2.08006,0.6573,0.3059,3.04325,2.30405,0.21244,1.07274,3.545,7/6/2018,2,Potential for Minimal Harm,Many,4/21/2017,3,4/21/2017,3,3,0,4,1,0,4,6/17/2016,1,1,0,0,0,0,0,2.4,0,0,0,0,0,0,"7 CREEK LANE BRISTOL, RI 02809 (41.679532, -71.277212)",10/1/2018
415034,GRAND ISLANDER CENTER,333 GREEN END AVENUE,MIDDLETOWN,RI,2842,4018497100,20,Newport,For profit - Corporation,146,119.1,Medicare and Medicaid,FALSE,333 GREEN END AVENUE OPERATIONS LLC,27395,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,4,,5,,4,,5,,,,2.24967,0.38217,1.10147,1.48364,3.73331,0.09829,2.04647,0.73455,0.35849,3.13951,2.29359,0.39097,1.15234,3.8206,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,8/25/2017,1,8/25/2017,1,1,0,4,1,0,4,8/5/2016,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,"333 GREEN END AVENUE MIDDLETOWN, RI 02842 (41.506576, -71.28664)",10/1/2018
415015,APPLE REHAB WATCH HILL,79 WATCH HILL ROAD,WESTERLY,RI,2891,4015962664,50,Washington,For profit - Individual,60,,Medicare and Medicaid,FALSE,"WATCH HILL MANOR, LTD.",25979,FALSE,FALSE,FALSE,FALSE,Resident,Yes,4,,4,,5,,1,Downgraded to 1 Star,1,Downgraded to 1 Star,Data Not Available,Data Not Available,,,,,,,,,,,,,,,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,10/5/2017,1,10/5/2017,1,1,0,0,1,0,0,10/28/2016,3,3,0,4,1,0,4,1.6,0,0,0,0,0,0,"79 WATCH HILL ROAD WESTERLY, RI 02891 (41.335055, -71.828527)",10/1/2018
415004,ROYAL OF WESTERLY NURSING CENTER,79 BEACH STREET,WESTERLY,RI,2891,4015964925,50,Washington,For profit - Corporation,66,61.8,Medicare and Medicaid,FALSE,ROYAL WESTERLY LLC,24473,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,4,,5,,4,,5,,,,2.53271,0.04465,1.14057,1.18522,3.71793,0.12607,2.06149,0.67315,0.32576,3.0604,2.56334,0.04985,1.31313,3.90322,No Health Inspection since 11/28/2017,Not Applicable,Not Applicable,Not Applicable,8/10/2017,0,8/10/2017,0,0,0,0,0,0,0,9/1/2016,2,2,0,4,1,0,4,1.6,3,0,0,0,0,0,"79 BEACH STREET WESTERLY, RI 02891 (41.362099, -71.828772)",10/1/2018
415033,HEATHERWOOD REHABILITATION & HEALTH CARE CENTER,398 BELLEVUE AVENUE,NEWPORT,RI,2840,4018496600,20,Newport,For profit - Corporation,114,106.7,Medicare and Medicaid,FALSE,HEATHERWOOD RI LLC,27395,FALSE,FALSE,FALSE,FALSE,Resident,Yes,3,,2,,2,,4,,4,,,,2.02266,0.57476,0.57055,1.14531,3.16797,0.11587,1.82083,0.69386,0.32195,2.83664,2.31769,0.62247,0.66465,3.5882,6/22/2018,7,Minimal Harm/Potential for Actual Harm,Many,4/14/2017,0,4/14/2017,0,0,0,0,0,0,0,6/13/2016,2,2,0,24,1,0,24,9.6,0,0,0,0,0,0,"398 BELLEVUE AVENUE NEWPORT, RI 02840 (41.477036, -71.307969)",10/1/2018
415036,PARK VIEW CTR FOR REHABILITATION AND HEALTH CARE,31 PARADE STREET,PROVIDENCE,RI,2909,4013512600,30,Providence,For profit - Corporation,66,47.9,Medicare and Medicaid,FALSE,PARK VIEW OPERATIONS ASSOCIATES LLC,27515,FALSE,FALSE,FALSE,FALSE,Resident,Yes,4,,2,,5,,5,,5,,,,3.00099,0.16348,1.31493,1.47841,4.4794,0.13119,1.67409,0.65669,0.31075,2.64154,3.74015,0.18707,1.58697,5.44833,4/23/2018,9,Minimal Harm/Potential for Actual Harm,Many,3/8/2017,5,3/8/2017,5,5,0,12,1,0,12,4/25/2016,2,2,0,16,1,0,16,13.6,0,0,0,0,0,0,"31 PARADE STREET PROVIDENCE, RI 02909 (41.815148, -71.432538)",10/1/2018
415014,GRACE BARKER NURSING CENTER,54 BARKER AVENUE,WARREN,RI,2885,4012459100,0,Bristol,For profit - Corporation,86,83.7,Medicare and Medicaid,FALSE,"GRACE BARKER NURSING CENTER, INC.",24559,FALSE,FALSE,FALSE,FALSE,Resident,Yes,3,,3,,5,,1,Downgraded to 1 Star,1,Downgraded to 1 Star,Data Not Available,Data Not Available,,,,,,,,,,,,,,,3/30/2018,1,Minimal Harm/Potential for Actual Harm,Some,2/24/2017,0,2/24/2017,0,0,0,0,0,0,0,4/7/2016,1,1,0,8,1,0,8,3.2,0,0,0,0,0,0,"54 BARKER AVENUE WARREN, RI 02885 (41.727711, -71.26429)",10/1/2018
415020,GRANDVIEW CENTER,100 CHAMBERS STREET,CUMBERLAND,RI,2864,4017247500,30,Providence,For profit - Corporation,72,67.7,Medicare and Medicaid,FALSE,100 CHAMBERS STREET OPERATIONS LLC,24839,FALSE,FALSE,FALSE,FALSE,Both,Yes,4,,4,,4,,4,,5,,,,2.21303,0.49323,0.88677,1.38,3.59303,0.09184,2.11082,0.72706,0.36499,3.20287,2.18745,0.50978,0.91119,3.6043,2/6/2018,0,None,None,1/10/2017,1,1/10/2017,1,1,0,4,1,0,4,3/10/2016,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,"100 CHAMBERS STREET CUMBERLAND, RI 02864 (41.906946, -71.396704)",10/1/2018
415012,BRIARCLIFFE MANOR,49 OLD POCASSET ROAD,JOHNSTON,RI,2919,4019442450,30,Providence,For profit - Corporation,122,117.4,Medicare and Medicaid,FALSE,MEDICAL HOMES OF RHODE ISLAND INC,24509,FALSE,FALSE,FALSE,FALSE,Resident,Yes,5,,5,,5,,5,,5,,,,3.31199,0.2835,0.98629,1.26979,4.58178,0.09905,2.27066,0.71462,0.3509,3.33618,3.04326,0.29811,1.05416,4.4125,2/23/2018,2,Minimal Harm/Potential for Actual Harm,Some,1/18/2017,0,1/18/2017,0,0,0,0,0,0,0,2/19/2016,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"49 OLD POCASSET ROAD JOHNSTON, RI 02919 (41.815987, -71.514682)",10/1/2018
